CookerStat, GenerateAssetRegistry=0.042897, Initialize=1.175802, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionIdB0985A444A6074A4FA3B978CC22FB0FC_0, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_037EBB554B67AD5DF__F6AF4C72B0A2C6CFE34355C21CDC7FB5F3A4B996, StartTime=2022.04.15-16.02.29, HierarchicalDDC=, DataSize=401, Duration=5.661298, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId82507ACB4FDB257E6DE5C38995EAE7EC_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_273D97B948FC46F7C80485B20AA2B743__1_0_13123_0, StartTime=2022.04.15-16.08.23, HierarchicalDDC=, DataSize=347, Duration=9.158302, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId46A2AE944B334C4B64100E9D0DF13C0B_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_901AC12C425DF083FF6DB3AD6468FFE1__1_0_13123_0, StartTime=2022.04.15-16.08.23, HierarchicalDDC=, DataSize=347, Duration=10.086000, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionIdB0985A444A6074A4FA3B978CC22FB0FC_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BA40BFFF42470C23945C128184CA1F61__1_0_13123_0, StartTime=2022.04.15-16.08.23, HierarchicalDDC=, DataSize=385, Duration=12.403500, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId7F18036B45CCA4056D0FB5A5DE426CFF_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D5741EC44E2D4CE70B7245B7B9F6E745__1_0_13123_0, StartTime=2022.04.15-16.08.23, HierarchicalDDC=, DataSize=347, Duration=11.426900, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId36F5059E49C7A7A9FB57599D7AB61999_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_984777F24D83B67657D497B5A34A38EE__1_0_13123_0, StartTime=2022.04.15-16.08.23, HierarchicalDDC=, DataSize=347, Duration=12.133397, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId46A2AE944B334C4B64100E9D0DF13C0B_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_AAAE3A5B499AB85F5B10B88B8662632E__1_0_13123_0, StartTime=2022.04.15-16.08.25, HierarchicalDDC=, DataSize=347, Duration=7.262100, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId7F18036B45CCA4056D0FB5A5DE426CFF_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_C7E53E4F4FA6718F550ED3864414BC8C__1_0_13123_0, StartTime=2022.04.15-16.08.25, HierarchicalDDC=, DataSize=347, Duration=11.541001, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionIdB0985A444A6074A4FA3B978CC22FB0FC_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5EE1AA154194D12365464FBF6B611512__1_0_13123_0, StartTime=2022.04.15-16.08.25, HierarchicalDDC=, DataSize=347, Duration=6.821800, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId36F5059E49C7A7A9FB57599D7AB61999_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3939F58149F569CF9A4C2BBB72276E90__1_0_13123_0, StartTime=2022.04.15-16.08.25, HierarchicalDDC=, DataSize=347, Duration=7.600799, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
DDCTransactionId82507ACB4FDB257E6DE5C38995EAE7EC_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5874E862455640139B3DD2BC68A9C8D7__1_0_13123_0, StartTime=2022.04.15-16.08.25, HierarchicalDDC=, DataSize=347, Duration=7.458001, RunGuid=RunIDD1ECA15141218331B523B7A61A0CD03C
